Date,ASIANPAINT.NS,BAJFINANCE.NS,BHARTIARTL.NS,HCLTECH.NS,ICICIBANK.NS,LT.NS,MARUTI.NS,SBIN.NS,TCS.NS,TITAN.NS
2015-01-02,0.0345719743908397,-0.01598713417528763,0.005924643143495167,-0.0009647235931500298,0.028384960248372115,0.02109187684521907,0.005642304635010698,0.003980972456381071,0.013317094815411545,0.007898882458396317
2015-01-05,-6.434171705049785e-05,-0.002613454986803543,-0.022188897958524523,-0.016819757043258443,0.0020699328253357407,0.013911815129000304,0.026253215855602363,-0.007930157100041746,-0.015197135166426623,0.008098172762799782
2015-01-06,-0.023870934786808906,-0.0025909429256826266,-0.00784434973170689,-0.026706588257592645,-0.042418235877106025,-0.0333547769226209,-0.015241582523696895,-0.04108721349923994,-0.03686649511864992,-0.03420557177006933
2015-01-07,0.02009262604418738,0.020359811754971258,0.0024001299287930156,-0.023761354815242997,-0.027038704976161787,-0.0023934328550493378,0.01251737170371392,0.0008335139032766836,-0.011812156788000627,0.005097937238785377
2015-01-08,0.06304233636351375,-0.0017022048791259792,0.01732391107213571,0.023139412622039446,0.027198675940560024,0.006364602553566412,0.010981226561175284,0.015658973036648316,0.010795766512354366,-0.004538428342708456
2015-01-09,-0.009568897125343367,-0.01134781446854849,-0.01481355471960144,0.007332263750569057,-0.01611734533706133,-0.006489767023464932,-0.0021005949699186566,-0.005412472474075614,0.028029673023901358,0.0
2015-01-12,-0.005846171087823482,-0.0034347996731753927,-0.019252431762481037,0.01941070245090848,0.013748622682868916,0.02262938941162851,-0.0015282700880764333,0.012862807820556377,-0.001034697933868678,0.010458708064930322
2015-01-13,0.032311824762211394,0.01303005217748976,-0.0075941847969810405,0.005108941608675588,-0.016303547288243014,-0.009581487683083978,0.00154505777653835,-0.0065126679061130455,-0.004701874570894327,-0.012208094948306658
2015-01-14,0.010553466131515865,0.0835341335366202,-0.001444070678596976,-0.003030915019766822,-0.011733586761931258,-0.0009873225057581703,0.013767805419835799,-0.0013110497150770062,0.009628127090799632,-0.0016121372004479495
2015-01-15,-0.003916022044122336,0.02285431295019391,0.01026615937959563,0.009152455729753095,0.04734333179210326,0.03669312006491965,0.031228611522591043,0.05119794972682157,0.006800507563235358,0.01157181879892133
2015-01-16,0.004884963286222899,0.020102617879787177,-0.018605834291260948,0.02871503795603858,0.0028342066325139914,0.01146984411868579,-0.0025373016731501385,-0.015142061582662736,-0.0027372483525677227,0.03006116111245416
2015-01-19,-0.013693941948754285,-0.00915500100931077,0.02216716305546229,0.0034472315850360147,0.019641079541174333,0.014512403105777949,0.0026681917301749625,-0.0072912755955216735,-0.008352548090564738,0.018853188091024098
2015-01-20,0.008775204478185472,0.0007689944518272096,0.012697889385049788,0.01672082467041691,0.019262738560918313,0.009103027923255569,-0.0057082944409055925,0.015966895462306674,-0.00420175191881067,-0.0022812682957490393
2015-01-21,0.014418461536503502,-0.022370195300291162,0.03972938738900256,0.009030264471526994,0.001903531785272028,0.01534146664511371,0.008084838052560217,0.025302461587434877,0.005338819898744296,0.03391756511008648
2015-01-22,0.01861853125137225,0.006090538526429601,0.0027100804314617033,-0.012772024650330227,0.003663966287421383,0.005288584393117635,-0.01030367583596592,-0.004751740653538561,-9.868923322964296e-05,-0.017692597073837524
2015-01-23,-0.005823778504261745,0.0076807893874066835,0.038108292499226204,-0.011436900278398388,0.002433760057936496,0.028858162769695994,0.002627133340028509,0.008624700807324581,-0.003959085243659621,-0.0022513079672433767
2015-01-27,0.032942907761794205,0.0773614953672126,0.026295016999095644,-0.018400903657251666,0.03452918792503801,0.017939657979360035,0.02251362127787071,0.007940116886667736,0.0013810651679262431,0.004513015930190711
2015-01-28,0.022178863217249267,0.036706621891320124,-0.052257688561725524,0.0266341171210418,0.0014342351413354493,-0.025057421576608174,0.010276779076019205,0.013785821933496534,0.015007887855272406,0.0813677977462206
2015-01-29,-0.03180476426805556,-0.044926718004638655,0.005888516262675614,-0.0062976163638718274,-0.009764481338515152,0.015044255337789192,-0.00993066382877028,-0.02271355654746987,0.0019879247632497155,0.019734355791479086
2015-01-30,-0.026721882760739057,-0.018857105416022257,-0.005588112569230863,0.0866006371241137,-0.05153828632174029,-0.013545187476301401,-0.011236709686635926,-0.05519890798939531,-0.0246003878119484,-0.02535071054157878
2015-02-02,-0.05788407960744968,0.02704563015248196,-0.038533364000799986,0.05539289708358863,-0.02453536203760376,0.02031708065229121,0.006059149351659299,-0.004693345071405841,0.012952850534930338,0.006038215713490169
2015-02-03,0.008167477105669452,0.0029326750959131065,0.03409418806476805,0.004891457605544547,-0.014921428615225829,-0.007261752906707941,-0.016787214865603417,-0.02341459905979959,0.017520824587753836,-0.002077765431435785
2015-02-04,-0.013317869334288468,-0.015603033708376346,-0.006997867656542089,0.0042804582132913715,-0.005625987807810207,-0.019796834369714578,-0.013941902563330943,-0.02414255914729746,-0.01717990404668035,-0.005204711404728779
2015-02-05,0.00870802986388508,0.005673121733470454,-0.011519158161401144,0.03804599483925486,-0.026258508424714444,-0.003553644065468209,-0.009796019967082459,-0.007678027112251962,0.015153292521183914,-0.028484894553104878
2015-02-06,-0.01627914214176074,-0.021304872709321687,0.009733834097615857,-0.009099725737892639,-0.018623279393427783,0.000683607922704832,-0.005705803920748154,-0.0017193123409963151,0.00914816291253051,-0.0026329006810207334
2015-02-09,0.007521994317745806,-0.008781907406144707,-0.032993790570976955,0.020258734949025525,-0.028237429201862674,-0.06599143877211389,-0.02606657055445971,-0.03720289957115941,-0.024400757638755044,-0.010679185197386531
2015-02-10,0.023082323148038375,-0.0007985377412959016,0.0001405238045002477,-0.0305616367965289,0.03436962196317839,-0.0004771065858037993,-0.0051150961693593455,0.02790700865036655,-0.028552790999175737,0.03141316737933675
2015-02-11,0.02256138776852401,0.027111729257256245,-0.00014050406033516705,0.011559920280760805,0.011025536489622567,0.026086203909683192,0.017943957234171082,-0.004698802460218587,0.007680873296518564,0.0024692415707643356
2015-02-12,-0.02022003256300897,0.003380242248450571,-0.009547845478328543,0.014675070248649336,0.013295378169254635,0.023159979525341434,0.028120828712465906,-0.00577039264795931,0.0009149036355260431,-0.0011731436832258524
2015-02-13,0.003641670218299975,0.014092642833449354,0.00652100616274276,0.004308593782756054,0.013858400560994744,0.0073332238929895155,0.018314299815898938,0.07966958443467931,0.031111278672789178,0.0022314333613810966
